Subject_Objective_21,Distance,Subject_Objective_25,Subject_Objective_40,Subject_or_Unit_19,Subject_or_Unit_6,Subject_Objective_22,Subject_or_Unit_12,Subject_or_Unit_23,Course_Lang,Subject_Description_13,Subject_or_Unit_11,Subject_or_Unit_26,Prerequisite_2,Subject_or_Unit_29,Subject_Description_29,Subject_Description_36,Subject_Objective_14,Subject_or_Unit_32,Subject_Description_27,Subject_or_Unit_20,Subject_or_Unit_10,Subject_Objective_13,Subject_Objective_16,Subject_Objective_29,Subject_Description_6,Subject_Description_28,Subject_or_Unit_7,Subject_or_Unit_13,Level_Code,Currency,Subject_Objective_10,Website,Subject_Description_20,Duration_Time,Subject_Description_4,Offline,Subject_Description_8,Face_to_Face,Subject_Description_19,Subject_Description_34,Subject_Description_38,Subject_or_Unit_33,Subject_or_Unit_40,Subject_Objective_31,Subject_Description_23,Part_Time,Prerequisite_3_grade,Subject_Objective_20,Duration,Subject_or_Unit_5,Subject_or_Unit_9,Subject_Objective_27,Subject_Objective_37,Career_Outcomes,Subject_Description_40,Subject_or_Unit_31,Subject_Objective_24,Currency_Time,Subject_or_Unit_16,Subject_or_Unit_28,Subject_Description_5,Subject_Description_39,Subject_or_Unit_27,Subject_or_Unit_4,Subject_Objective_15,Subject_or_Unit_3,Subject_or_Unit_21,Subject_Objective_12,Faculty,Subject_Objective_4,Subject_Description_31,Subject_Description_37,Subject_Description_21,Subject_Objective_11,Subject_Objective_26,Subject_Description_18,Subject_Description_35,Subject_Description_1,Subject_Description_10,Full_Time,Subject_Objective_2,Subject_or_Unit_30,Subject_or_Unit_37,University,Subject_Description_17,Subject_Objective_28,Subject_Objective_3,Course,Subject_or_Unit_39,Int_Fees,Subject_or_Unit_14,Subject_Objective_17,Subject_Description_32,Subject_Objective_34,Prerequisite_1_grade,Subject_Description_16,Subject_or_Unit_34,Subject_or_Unit_2,Subject_or_Unit_18,Country,Subject_or_Unit_17,Remarks,Subject_Objective_38,Subject_Objective_18,Subject_or_Unit_38,Subject_Objective_30,Subject_Description_26,Online,Subject_Objective_5,Prerequisite_2_grade,Subject_Objective_9,Subject_or_Unit_22,Prerequisite_1,Subject_Description_7,Subject_Description_24,Subject_Description_2,Subject_Description_25,Prerequisite_3,Subject_Description_15,Subject_Description_14,Subject_Description_11,Subject_Description_12,Subject_Description_30,Subject_Objective_39,Subject_Description_33,Subject_Objective_8,Subject_or_Unit_36,Subject_Objective_35,Subject_Objective_36,Subject_or_Unit_25,Subject_Objective_19,City,Subject_or_Unit_35,Subject_Objective_23,Subject_Description_22,Subject_Objective_33,Description,Subject_or_Unit_1,Subject_Objective_7,Subject_or_Unit_24,Local_Fees,Subject_Description_9,Subject_Description_3,Availability,Subject_Objective_6,Subject_or_Unit_8,Subject_or_Unit_15,Blended,Subject_Objective_32
,no,,, Introduction to understanding Sport and Fitness Research, Health Priorities for Australia,, Strength and Conditioning, Leadership Through Outdoor Activities,English,, Professional Integrity,,IELTS,,,,,,, Athletic and Aquatics Specialisation, Applied Exercise Physiology,,,,,, Theory & Application of Playing Sport, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-health-movement,,Years,,yes,,yes,,,,,,,,yes,,,3, Health: A Sociological Perspective, Global Health,,,Community Sports Manager / Community Recreation Manager / Sports Administrator / Sports Development Officer,,,,year, Biomechanics,,,,, Skill Acquisition,, Sport & the Social Context, Sports Medicine,,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Health & Movement,,, Exercise Prescription throughout the Lifespan,,,,,,, Principles of Movement, Composition and Performance,Australia, Introduction to Understanding Community Health Research,,,,,,,yes,,6.5,," Health, Lifestyle, Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Online,,,,,"The study of the human body is a personally rewarding and increasingly important field in today’s world. Health and Movement studies take a practical, hands-on approach. This degree combines courses in health, movement and science, and a major in community health or sport, to help you arrive at a complete, real-world understanding of your field.", Understanding Health,, Research in Action (Sport),,,,,, Musculoskeletal Anatomy & Physiology, Inclusive Physical Activity,no,
,no,,, Introduction to understanding Sport and Fitness Research, Health Priorities for Australia,, Strength and Conditioning, Leadership Through Outdoor Activities,English,, Professional Integrity,,IELTS,,,,,,, Athletic and Aquatics Specialisation, Applied Exercise Physiology,,,,,, Theory & Application of Playing Sport, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-health-movement,,Years,,yes,,yes,,,,,,,,yes,,,3, Health: A Sociological Perspective, Global Health,,,Community Sports Manager / Community Recreation Manager / Sports Administrator / Sports Development Officer,,,,year, Biomechanics,,,,, Skill Acquisition,, Sport & the Social Context, Sports Medicine,,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Health & Movement,,, Exercise Prescription throughout the Lifespan,,,,,,, Principles of Movement, Composition and Performance,Australia, Introduction to Understanding Community Health Research,,,,,,,yes,,6.5,," Health, Lifestyle, Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Sydney,,,,,"The study of the human body is a personally rewarding and increasingly important field in today’s world. Health and Movement studies take a practical, hands-on approach. This degree combines courses in health, movement and science, and a major in community health or sport, to help you arrive at a complete, real-world understanding of your field.", Understanding Health,, Research in Action (Sport),,,,,, Musculoskeletal Anatomy & Physiology, Inclusive Physical Activity,no,
,no,,, Functional Anatomy, Musculoskeletal Anatomy & Physiology,, Strength and Conditioning, Advanced Training Principles and Exercise Prescription,English,, Applied Exercise Physiology,,IELTS,,,,,,, Research Design and Epidemiology, Systems Anatomy & Physiology,,,,,, Biochemistry and Nutrition, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-health-science-exercise,,Years,,yes,,yes,,,,,,,,yes,,,3, Biology I, Professional Integrity,,,Exercise ScientistHigh Performance Sport AdvisorLaboratory TechnicianRehabilitation consultantSport and Exercise Researcher / Exercise Scientist / High Performance Sport Advisor / Laboratory Technician / Rehabilitation consultant / Sport and Exercise Researcher,,,,year, Sports Medicine,,,,, Application of Maths and Statistics for Health and Sport,, Skill Acquisition, Psychology,,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Health Science (Exercise),,, Biomechanics,,,,,,, Chemistry I, Human Pathophysiology and Pharmacology,Australia, Raising Health Awareness,,,,,,,yes,,6.5,," Nutrition, Health and Sporting Performance",,,,,,,,,,,,,,,,,,,,Online,,,,,"The knowledge covered in the Bachelor of Health Science (Exercise) is based on the sciences behind health, physical activity and exercise.", Understanding Health,, Health and Physical Assessments,,,,,, Exercise Prescription Throughout The Lifespan," Health, Lifestyle Disease and Exercise Prescription",no,
,no,,, Functional Anatomy, Musculoskeletal Anatomy & Physiology,, Strength and Conditioning, Advanced Training Principles and Exercise Prescription,English,, Applied Exercise Physiology,,IELTS,,,,,,, Research Design and Epidemiology, Systems Anatomy & Physiology,,,,,, Biochemistry and Nutrition, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-health-science-exercise,,Years,,yes,,yes,,,,,,,,yes,,,3, Biology I, Professional Integrity,,,Exercise ScientistHigh Performance Sport AdvisorLaboratory TechnicianRehabilitation consultantSport and Exercise Researcher / Exercise Scientist / High Performance Sport Advisor / Laboratory Technician / Rehabilitation consultant / Sport and Exercise Researcher,,,,year, Sports Medicine,,,,, Application of Maths and Statistics for Health and Sport,, Skill Acquisition, Psychology,,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Health Science (Exercise),,, Biomechanics,,,,,,, Chemistry I, Human Pathophysiology and Pharmacology,Australia, Raising Health Awareness,,,,,,,yes,,6.5,," Nutrition, Health and Sporting Performance",,,,,,,,,,,,,,,,,,,,Sydney,,,,,"The knowledge covered in the Bachelor of Health Science (Exercise) is based on the sciences behind health, physical activity and exercise.", Understanding Health,, Health and Physical Assessments,,,,,, Exercise Prescription Throughout The Lifespan," Health, Lifestyle Disease and Exercise Prescription",no,
,no,,, Functional Anatomy, Musculoskeletal Anatomy & Physiology,, Strength and Conditioning, Health and Physical Assessments,English,, Introduction to Responsible Fitness Management,,IELTS,,,,,,, Research Design and Epidemiology, Applied Exercise Physiology,,,,,, Biochemistry and Nutrition, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-health-science-fitness,,Years,,yes,,yes,,,,,,,,yes,,,3, Biology I, Systems Anatomy & Physiology,,,Specialist Exercise Advisor / Strength and Conditioning Coach / High Performance Manager / Gym and Facility Manager,,,,year, Small Business Management Principles,,,,, Fitness Principles and Programming,, Application of Maths and Statistics for Health and Sport, Psychology,,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Health Science (Fitness),,, Exercise Prescription Throughout The Lifespan,,,,,,, Chemistry I, Human Pathophysiology and Pharmacology,Australia, Professional Integrity,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Online,,,,,"The Bachelor of Health Science (Fitness) course allows you to concentrate your studies in health science with a fitness major to appeal to your interests and career aspirations. You will build a comprehensive understanding of human biomedical science underpinned by fitness industry skills. Plus it will provide the practice of this knowledge in client assessments and in designing, implementing and evaluating exercise programs.", Understanding Health,, Exercise & Social Development through the Lifespan,,,,,, Introduction to Performance and Exercise Psychology, Biomechanics,no,
,no,,, Functional Anatomy, Musculoskeletal Anatomy & Physiology,, Strength and Conditioning, Health and Physical Assessments,English,, Introduction to Responsible Fitness Management,,IELTS,,,,,,, Research Design and Epidemiology, Applied Exercise Physiology,,,,,, Biochemistry and Nutrition, Principles of Health Promotion,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-health-science-fitness,,Years,,yes,,yes,,,,,,,,yes,,,3, Biology I, Systems Anatomy & Physiology,,,Specialist Exercise Advisor / Strength and Conditioning Coach / High Performance Manager / Gym and Facility Manager,,,,year, Small Business Management Principles,,,,, Fitness Principles and Programming,, Application of Maths and Statistics for Health and Sport, Psychology,,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Health Science (Fitness),,, Exercise Prescription Throughout The Lifespan,,,,,,, Chemistry I, Human Pathophysiology and Pharmacology,Australia, Professional Integrity,,,,,,,yes,,6.5,," Health, Lifestyle Disease and Exercise Prescription",,,,,,,,,,,,,,,,,,,,Sydney,,,,,"The Bachelor of Health Science (Fitness) course allows you to concentrate your studies in health science with a fitness major to appeal to your interests and career aspirations. You will build a comprehensive understanding of human biomedical science underpinned by fitness industry skills. Plus it will provide the practice of this knowledge in client assessments and in designing, implementing and evaluating exercise programs.", Understanding Health,, Exercise & Social Development through the Lifespan,,,,,, Introduction to Performance and Exercise Psychology, Biomechanics,no,
,no,,, Human Pathophysiology and Pharmacology, Biology I,, Applied Exercise Physiology, Health and Physical Assessments,English,, Systems Anatomy & Physiology,,IELTS,,,,,,, Research Design and Epidemiology, Classical Dance Styles,,,,,, Musculoskeletal Anatomy & Physiology, Popular Dance Styles,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-health-science-dance,,Years,,yes,,yes,,,,,,,,yes,,,3, Dance Composition 1, Dance History,,,Studio Based Teacher / Dance Studio Consultant / Dance Researcher / Rehabilitation and Performance Advisor,,,,year, Biomechanics,,,,, Application of Maths and Statistics for Health and Sport,, Chemistry I, Research in Action (Dance),,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Health Science (Dance),,, Dance and Somatics,,,,,,, Understanding Health, Professional Integrity,Australia, Dance Composition II,,,,,,,yes,,6.5,, Psychology,,,,,,,,,,,,,,,,,,,,Online,,,,,The Bachelor of Health Science (Dance) is a specialised degree that uniquely combines the art of dance with scientific principles., Foundations of Dance (Work Integrated Learning – WIL),, Exercise & Social Development through the Lifespan,,,,,, Biochemistry and Nutrition, Principles of Health Promotion,no,
,no,,, Human Pathophysiology and Pharmacology, Biology I,, Applied Exercise Physiology, Health and Physical Assessments,English,, Systems Anatomy & Physiology,,IELTS,,,,,,, Research Design and Epidemiology, Classical Dance Styles,,,,,, Musculoskeletal Anatomy & Physiology, Popular Dance Styles,BA,AUD,,https://acpe.edu.au/future-students/study/courses/bachelor-health-science-dance,,Years,,yes,,yes,,,,,,,,yes,,,3, Dance Composition 1, Dance History,,,Studio Based Teacher / Dance Studio Consultant / Dance Researcher / Rehabilitation and Performance Advisor,,,,year, Biomechanics,,,,, Application of Maths and Statistics for Health and Sport,, Chemistry I, Research in Action (Dance),,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Bachelor of Health Science (Dance),,, Dance and Somatics,,,,,,, Understanding Health, Professional Integrity,Australia, Dance Composition II,,,,,,,yes,,6.5,, Psychology,,,,,,,,,,,,,,,,,,,,Sydney,,,,,The Bachelor of Health Science (Dance) is a specialised degree that uniquely combines the art of dance with scientific principles., Foundations of Dance (Work Integrated Learning – WIL),, Exercise & Social Development through the Lifespan,,,,,, Biochemistry and Nutrition, Principles of Health Promotion,no,
,no,,, Human Pathophysiology and Pharmacology, Biology I,, Applied Exercise Physiology, Health and Physical Assessments,English,, Systems Anatomy & Physiology,,IELTS,,,,,,, Research Design and Epidemiology, Classical Dance Styles,,,,,, Musculoskeletal Anatomy & Physiology, Popular Dance Styles,BA,AUD,,https://acpe.edu.au/undergraduatecertificate-in-fundamentals-of-health-promotion/,,Years,,no,,no,,,,,,,,yes,,,3, Dance Composition 1, Dance History,,,"Students will develop the skills to work professionally in health promotion careers. These roles may include a Health Promotion Officer or Coordinator, Health & Lifestyle Coordinator, Policy Support Officer, Community Health Development Officer, Community Engagement Officer, Public Health Project Officer, Environmental Health Coordinator, Health and Wellbeing Manager and other positions within government, private or NGOs.",,,,year, Biomechanics,,,,, Application of Maths and Statistics for Health and Sport,, Chemistry I, Research in Action (Dance),,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Undergraduate Certificate in Fundamentals of Health Promotion,,, Dance and Somatics,,,,,,, Understanding Health, Professional Integrity,Australia, Dance Composition II,,,,,,,yes,,6.5,, Psychology,,,,,,,,,,,,,,,,,,,,Online,,,,,"The Undergraduate Certificate in Fundamentals of Health Promotion is designed to develop an understanding of the social, environmental, political and economic determinants of health. Students will learn the core domains of health promotion including how to plan, advocate, and evaluate policies and programs to bring positive changes to the health of communities using a preventative model. This course is designed for professionals working in Fitness, Allied Health, Health Care or Physical Education looking to upskill or retrain.", Foundations of Dance (Work Integrated Learning – WIL),, Exercise & Social Development through the Lifespan,,,,,, Biochemistry and Nutrition, Principles of Health Promotion,no,
,no,,, Human Pathophysiology and Pharmacology, Biology I,, Applied Exercise Physiology, Health and Physical Assessments,English,, Systems Anatomy & Physiology,,IELTS,,,,,,, Research Design and Epidemiology, Classical Dance Styles,,,,,, Musculoskeletal Anatomy & Physiology, Popular Dance Styles,BA,AUD,,https://acpe.edu.au/undergraduatecertificate-in-fundamentals-of-health-promotion/,,Years,,no,,no,,,,,,,,yes,,,3, Dance Composition 1, Dance History,,,"Students will develop the skills to work professionally in health promotion careers. These roles may include a Health Promotion Officer or Coordinator, Health & Lifestyle Coordinator, Policy Support Officer, Community Health Development Officer, Community Engagement Officer, Public Health Project Officer, Environmental Health Coordinator, Health and Wellbeing Manager and other positions within government, private or NGOs.",,,,year, Biomechanics,,,,, Application of Maths and Statistics for Health and Sport,, Chemistry I, Research in Action (Dance),,English,,,,,,,,,,,yes,,,,Australian College of Physical Education,,,,Undergraduate Certificate in Fundamentals of Health Promotion,,, Dance and Somatics,,,,,,, Understanding Health, Professional Integrity,Australia, Dance Composition II,,,,,,,yes,,6.5,, Psychology,,,,,,,,,,,,,,,,,,,,Sydney,,,,,"The Undergraduate Certificate in Fundamentals of Health Promotion is designed to develop an understanding of the social, environmental, political and economic determinants of health. Students will learn the core domains of health promotion including how to plan, advocate, and evaluate policies and programs to bring positive changes to the health of communities using a preventative model. This course is designed for professionals working in Fitness, Allied Health, Health Care or Physical Education looking to upskill or retrain.", Foundations of Dance (Work Integrated Learning – WIL),, Exercise & Social Development through the Lifespan,,,,,, Biochemistry and Nutrition, Principles of Health Promotion,no,
